"","title","author","school","sentence_spacy","sentence_str","original_publication_date","corpus_edition_date","sentence_length","sentence_lowered","tokenized_txt","lemmatized_str","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"538","Ethics","Spinoza","rationalism","For if a thing, which has not been conditioned by God, could condition itself, the first part of our proof would be false, and this, as we have shown is absurd.","For if a thing, which has not been conditioned by God, could condition itself, the first part of our proof would be false, and this, as we have shown is absurd.",1677,2003,160,"for if a thing, which has not been conditioned by god, could condition itself, the first part of our proof would be false, and this, as we have shown is absurd.","['for', 'if', 'thing', 'which', 'has', 'not', 'been', 'conditioned', 'by', 'god', 'could', 'condition', 'itself', 'the', 'first', 'part', 'of', 'our', 'proof', 'would', 'be', 'false', 'and', 'this', 'as', 'we', 'have', 'shown', 'is', 'absurd']","for if a thing , which have not be condition by God , could condition -PRON- , the first part of -PRON- proof would be false , and this , as -PRON- have show be absurd .",0,1,0,1,1,0,0,2,1,1
"539","Aristotle - Complete Works","Aristotle","aristotle","When they need no longer rub them against tree trunks they quit their hiding places, from a sense of security based upon the possession of defensive weapons.","When they need no longer rub them against tree trunks they quit their hiding places, from a sense of security based upon the possession of defensive weapons.",-320,1991,157,"when they need no longer rub them against tree trunks they quit their hiding places, from a sense of security based upon the possession of defensive weapons.","['when', 'they', 'need', 'no', 'longer', 'rub', 'them', 'against', 'tree', 'trunks', 'they', 'quit', 'their', 'hiding', 'places', 'from', 'sense', 'of', 'security', 'based', 'upon', 'the', 'possession', 'of', 'defensive', 'weapons']","when -PRON- need no longer rub -PRON- against tree trunk -PRON- quit -PRON- hiding place , from a sense of security base upon the possession of defensive weapon .",2,1,2,2,1,0,1,1,2,2
"540","A Treatise Of Human Nature","Hume","empiricism","Any thing may produce any thing.","Any thing may produce any thing.",1739,2003,32,"any thing may produce any thing.","['any', 'thing', 'may', 'produce', 'any', 'thing']","any thing may produce any thing .",0,0,0,0,0,0,0,0,0,0
"541","The Phenomenology Of Perception","Merleau-Ponty","phenomenology","There is vision only through anticipation and intention, and since no intention could be a true intention if the object towards which it tends were given to it ready made and with no motivation","There is vision only through anticipation and intention, and since no intention could be a true intention if the object towards which it tends were given to it ready made and with no motivation",1945,2002,193,"there is vision only through anticipation and intention, and since no intention could be a true intention if the object towards which it tends were given to it ready made and with no motivation","['there', 'is', 'vision', 'only', 'through', 'anticipation', 'and', 'intention', 'and', 'since', 'no', 'intention', 'could', 'be', 'true', 'intention', 'if', 'the', 'object', 'towards', 'which', 'it', 'tends', 'were', 'given', 'to', 'it', 'ready', 'made', 'and', 'with', 'no', 'motivation']","there be vision only through anticipation and intention , and since no intention could be a true intention if the object towards which -PRON- tend be give to -PRON- ready make and with no motivation",0,3,0,0,0,0,0,0,0,1
"542","Being And Time","Heidegger","phenomenology","This lostness can be sum moned by one's own Da sein, the summons can be understood in the mode of resoluteness.","This lostness can be sum moned by one's own Da sein, the summons can be understood in the mode of resoluteness.",1927,1996,111,"this lostness can be sum moned by one's own da sein, the summons can be understood in the mode of resoluteness.","['this', 'lostness', 'can', 'be', 'sum', 'moned', 'by', 'one', 'own', 'da', 'sein', 'the', 'summons', 'can', 'be', 'understood', 'in', 'the', 'mode', 'of', 'resoluteness']","this lostness can be sum mone by one 's own Da sein , the summon can be understand in the mode of resoluteness .",0,0,0,0,0,0,0,0,1,0
"543","Capital","Marx","communism","Of every persons employed there, are men, women.","Of every persons employed there, are men, women.",1883,1887,48,"of every persons employed there, are men, women.","['of', 'every', 'persons', 'employed', 'there', 'are', 'men', 'women']","of every person employ there , be man , woman .",0,0,0,0,0,0,0,0,0,0
"544","Naming And Necessity","Kripke","analytic","An initial 'baptism' takes place.","An initial 'baptism' takes place.",1972,1990,33,"an initial 'baptism' takes place.","['an', 'initial', 'baptism', 'takes', 'place']","an initial ' baptism ' take place .",0,0,0,0,0,0,0,0,0,0
"545","The Search After Truth","Malebranche","rationalism","Yet if we add to the variability of the body's constitution the unsettled state generated by objects, which make quite different impressions on people from different occupations and ways of life.","Yet if we add to the variability of the body's constitution the unsettled state generated by objects, which make quite different impressions on people from different occupations and ways of life.",1674,1997,195,"yet if we add to the variability of the body's constitution the unsettled state generated by objects, which make quite different impressions on people from different occupations and ways of life.","['yet', 'if', 'we', 'add', 'to', 'the', 'variability', 'of', 'the', 'body', 'constitution', 'the', 'unsettled', 'state', 'generated', 'by', 'objects', 'which', 'make', 'quite', 'different', 'impressions', 'on', 'people', 'from', 'different', 'occupations', 'and', 'ways', 'of', 'life']","yet if -PRON- add to the variability of the body 's constitution the unsettled state generate by object , which make quite different impression on people from different occupation and way of life .",1,0,1,1,0,0,0,0,1,0
"546","Lewis - Papers","Lewis","analytic",", purporting to name states of the machine.",", purporting to name states of the machine.",1985,2008,43,", purporting to name states of the machine.","['purporting', 'to', 'name', 'states', 'of', 'the', 'machine']",", purport to name state of the machine .",0,0,0,0,0,0,0,1,0,0
"547","Quintessence","Quine","analytic","To project such hypotheses beyond the independently translatable sentences ll all is in effect to impute our sense of linguistic analogy unverifiably to the native mind.","To project such hypotheses beyond the independently translatable sentences ll all is in effect to impute our sense of linguistic analogy unverifiably to the native mind.",1950,2004,169,"to project such hypotheses beyond the independently translatable sentences ll all is in effect to impute our sense of linguistic analogy unverifiably to the native mind.","['to', 'project', 'such', 'hypotheses', 'beyond', 'the', 'independently', 'translatable', 'sentences', 'll', 'all', 'is', 'in', 'effect', 'to', 'impute', 'our', 'sense', 'of', 'linguistic', 'analogy', 'unverifiably', 'to', 'the', 'native', 'mind']","to project such hypothesis beyond the independently translatable sentence will all be in effect to impute -PRON- sense of linguistic analogy unverifiably to the native mind .",0,0,0,0,0,0,0,0,0,1
"548","Aristotle - Complete Works","Aristotle","aristotle","So we must start from a colour previously established, and observe what happens when it is blent.","So we must start from a colour previously established, and observe what happens when it is blent.",-320,1991,97,"so we must start from a colour previously established, and observe what happens when it is blent.","['so', 'we', 'must', 'start', 'from', 'colour', 'previously', 'established', 'and', 'observe', 'what', 'happens', 'when', 'it', 'is', 'blent']","so -PRON- must start from a colour previously establish , and observe what happen when -PRON- be blent .",0,1,0,0,1,0,0,0,0,1
"549","Aristotle - Complete Works","Aristotle","aristotle","Thus the sense with which self indulgence is connected is the most widely shared of the senses; and self indulgence would seem to be justly a matter of reproach, because it attaches to us not as men but as animals.","Thus the sense with which self indulgence is connected is the most widely shared of the senses; and self indulgence would seem to be justly a matter of reproach, because it attaches to us not as men but as animals.",-320,1991,214,"thus the sense with which self indulgence is connected is the most widely shared of the senses; and self indulgence would seem to be justly a matter of reproach, because it attaches to us not as men but as animals.","['thus', 'the', 'sense', 'with', 'which', 'self', 'indulgence', 'is', 'connected', 'is', 'the', 'most', 'widely', 'shared', 'of', 'the', 'senses', 'and', 'self', 'indulgence', 'would', 'seem', 'to', 'be', 'justly', 'matter', 'of', 'reproach', 'because', 'it', 'attaches', 'to', 'us', 'not', 'as', 'men', 'but', 'as', 'animals']","thus the sense with which self indulgence be connect be the most widely share of the sense ; and self indulgence would seem to be justly a matter of reproach , because -PRON- attach to -PRON- not as man but as animal .",1,0,1,0,0,1,0,0,1,1
"550","The Search After Truth","Malebranche","rationalism","In certain cases it is absolutely necessary to consult them, and generally it is useful to do so.","In certain cases it is absolutely necessary to consult them, and generally it is useful to do so.",1674,1997,97,"in certain cases it is absolutely necessary to consult them, and generally it is useful to do so.","['in', 'certain', 'cases', 'it', 'is', 'absolutely', 'necessary', 'to', 'consult', 'them', 'and', 'generally', 'it', 'is', 'useful', 'to', 'do', 'so']","in certain case -PRON- be absolutely necessary to consult -PRON- , and generally -PRON- be useful to do so .",0,0,0,0,0,0,0,1,0,0
"551","The Second Sex","Beauvoir","feminism","The first time I was moved to tears and would have almost wept with her Two years have since flown","The first time I was moved to tears and would have almost wept with her Two years have since flown",1949,2009,98,"the first time i was moved to tears and would have almost wept with her two years have since flown","['the', 'first', 'time', 'was', 'moved', 'to', 'tears', 'and', 'would', 'have', 'almost', 'wept', 'with', 'her', 'two', 'years', 'have', 'since', 'flown']","the first time -PRON- be move to tear and would have almost weep with -PRON- two year have since fly",0,1,0,0,0,0,0,0,0,0
"552","Philosophical Studies","Moore","analytic","I think it is quite possible","I think it is quite possible",1910,2015,28,"i think it is quite possible","['think', 'it', 'is', 'quite', 'possible']","-PRON- think -PRON- be quite possible",0,0,0,0,0,0,0,0,0,0
"553","Plato - Complete Works","Plato","plato","If a private individual should ever need to go abroad, he should first obtain leave of the authorities, and if he returns home with some surplus foreign money in his pocket he must deposit it with the state and take local money to the same value in exchange.","If a private individual should ever need to go abroad, he should first obtain leave of the authorities, and if he returns home with some surplus foreign money in his pocket he must deposit it with the state and take local money to the same value in exchange.",-350,1997,258,"if a private individual should ever need to go abroad, he should first obtain leave of the authorities, and if he returns home with some surplus foreign money in his pocket he must deposit it with the state and take local money to the same value in exchange.","['if', 'private', 'individual', 'should', 'ever', 'need', 'to', 'go', 'abroad', 'he', 'should', 'first', 'obtain', 'leave', 'of', 'the', 'authorities', 'and', 'if', 'he', 'returns', 'home', 'with', 'some', 'surplus', 'foreign', 'money', 'in', 'his', 'pocket', 'he', 'must', 'deposit', 'it', 'with', 'the', 'state', 'and', 'take', 'local', 'money', 'to', 'the', 'same', 'value', 'in', 'exchange']","if a private individual should ever need to go abroad , -PRON- should first obtain leave of the authority , and if -PRON- return home with some surplus foreign money in -PRON- pocket -PRON- must deposit -PRON- with the state and take local money to the same value in exchange .",1,1,0,0,1,1,2,2,2,2
"554","Essential Works Of Lenin","Lenin","communism","(Palimpsests are parchment documents on which the original inscription was obliterated and another inscription imposed.)","(Palimpsests are parchment documents on which the original inscription was obliterated and another inscription imposed.)",1862,1966,120,"(palimpsests are parchment documents on which the original inscription was obliterated and another inscription imposed.)","['palimpsests', 'are', 'parchment', 'documents', 'on', 'which', 'the', 'original', 'inscription', 'was', 'obliterated', 'and', 'another', 'inscription', 'imposed']","( Palimpsests be parchment document on which the original inscription be obliterate and another inscription impose . )",1,0,0,1,0,0,0,0,1,0
"555","Women, Race, And Class","Davis","feminism","Perhaps she was destined to become a political activist, for as a fresh graduate of Wellesley","Perhaps she was destined to become a political activist, for as a fresh graduate of Wellesley",1981,1981,93,"perhaps she was destined to become a political activist, for as a fresh graduate of wellesley","['perhaps', 'she', 'was', 'destined', 'to', 'become', 'political', 'activist', 'for', 'as', 'fresh', 'graduate', 'of', 'wellesley']","perhaps -PRON- be destine to become a political activist , for as a fresh graduate of Wellesley",0,1,0,0,0,0,0,0,0,0
"556","Plato - Complete Works","Plato","plato","Nothing if, of course, what you say is right.","Nothing if, of course, what you say is right.",-350,1997,45,"nothing if, of course, what you say is right.","['nothing', 'if', 'of', 'course', 'what', 'you', 'say', 'is', 'right']","nothing if , of course , what -PRON- say be right .",0,0,0,0,0,0,0,0,0,0
"557","Meditations On First Philosophy","Descartes","rationalism","But I had perceived none of these clearly and distinctly, but, unaware as I was of this criterion of truth, perhaps I believed them for other reasons, which I later discovered to be less sound than I had thought.","But I had perceived none of these clearly and distinctly, but, unaware as I was of this criterion of truth, perhaps I believed them for other reasons, which I later discovered to be less sound than I had thought.",1641,2008,212,"but i had perceived none of these clearly and distinctly, but, unaware as i was of this criterion of truth, perhaps i believed them for other reasons, which i later discovered to be less sound than i had thought.","['but', 'had', 'perceived', 'none', 'of', 'these', 'clearly', 'and', 'distinctly', 'but', 'unaware', 'as', 'was', 'of', 'this', 'criterion', 'of', 'truth', 'perhaps', 'believed', 'them', 'for', 'other', 'reasons', 'which', 'later', 'discovered', 'to', 'be', 'less', 'sound', 'than', 'had', 'thought']","but -PRON- have perceive none of these clearly and distinctly , but , unaware as -PRON- be of this criterion of truth , perhaps -PRON- believe -PRON- for other reason , which -PRON- later discover to be less sound than -PRON- have think .",0,1,0,0,0,0,0,2,1,1
"558","Plato - Complete Works","Plato","plato",", however unpalatable the thought may be that just people are exquisitely good at doing injustice!",", however unpalatable the thought may be that just people are exquisitely good at doing injustice!",-350,1997,98,", however unpalatable the thought may be that just people are exquisitely good at doing injustice!","['however', 'unpalatable', 'the', 'thought', 'may', 'be', 'that', 'just', 'people', 'are', 'exquisitely', 'good', 'at', 'doing', 'injustice']",", however unpalatable the thought may be that just people be exquisitely good at do injustice !",1,2,0,0,1,0,1,1,1,2
"559","The Wealth Of Nations","Smith","capitalism","The trade of the corn merchant is composed of four different branches, which, though they may sometimes be all carried on by the same person, are, in their own nature, four separate and distinct trades.","The trade of the corn merchant is composed of four different branches, which, though they may sometimes be all carried on by the same person, are, in their own nature, four separate and distinct trades.",1776,2009,202,"the trade of the corn merchant is composed of four different branches, which, though they may sometimes be all carried on by the same person, are, in their own nature, four separate and distinct trades.","['the', 'trade', 'of', 'the', 'corn', 'merchant', 'is', 'composed', 'of', 'four', 'different', 'branches', 'which', 'though', 'they', 'may', 'sometimes', 'be', 'all', 'carried', 'on', 'by', 'the', 'same', 'person', 'are', 'in', 'their', 'own', 'nature', 'four', 'separate', 'and', 'distinct', 'trades']","the trade of the corn merchant be compose of four different branch , which , though -PRON- may sometimes be all carry on by the same person , be , in -PRON- own nature , four separate and distinct trade .",0,0,0,0,0,0,0,2,0,1
"560","Capital","Marx","communism","As the co operative character of the labour process becomes more and more marked, so, as a necessary consequence, does our notion of productive labour, and of its agent the productive labourer, become extended.","As the co operative character of the labour process becomes more and more marked, so, as a necessary consequence, does our notion of productive labour, and of its agent the productive labourer, become extended.",1883,1887,210,"as the co operative character of the labour process becomes more and more marked, so, as a necessary consequence, does our notion of productive labour, and of its agent the productive labourer, become extended.","['as', 'the', 'co', 'operative', 'character', 'of', 'the', 'labour', 'process', 'becomes', 'more', 'and', 'more', 'marked', 'so', 'as', 'necessary', 'consequence', 'does', 'our', 'notion', 'of', 'productive', 'labour', 'and', 'of', 'its', 'agent', 'the', 'productive', 'labourer', 'become', 'extended']","as the co operative character of the labour process become more and more marked , so , as a necessary consequence , do -PRON- notion of productive labour , and of -PRON- agent the productive labourer , become extended .",0,0,0,0,0,0,0,0,0,3
"561","The Order Of Things","Foucault","continental","Ultimately, the problem that presents itself is that of the relations between thought and culture","Ultimately, the problem that presents itself is that of the relations between thought and culture",1966,2002,97,"ultimately, the problem that presents itself is that of the relations between thought and culture","['ultimately', 'the', 'problem', 'that', 'presents', 'itself', 'is', 'that', 'of', 'the', 'relations', 'between', 'thought', 'and', 'culture']","ultimately , the problem that present -PRON- be that of the relation between thought and culture",0,2,0,1,0,1,0,0,1,2
"562","Lewis - Papers","Lewis","analytic","(∑W' if is W', otherwise W'(C)), by algebra; ∑W P(W)","(∑W' if is W', otherwise W'(C)), by algebra; ∑W P(W)",1985,2008,52,"(∑w' if is w', otherwise w'(c)), by algebra; ∑w p(w)","['if', 'is', 'otherwise', 'by', 'algebra']","( ∑w ' if be W ' , otherwise W'(C ) ) , by algebra ; ∑w P(W )",0,0,0,0,0,0,0,0,0,0
"563","Aristotle - Complete Works","Aristotle","aristotle","If, then, form, either finite or infinite magnitude that passes through the motion in the finite time, it follows that an infinite motion is passed through in a finite time: and whether the magnitude in question is finite or infinite this is in either case impossible.","If, then, form, either finite or infinite magnitude that passes through the motion in the finite time, it follows that an infinite motion is passed through in a finite time: and whether the magnitude in question is finite or infinite this is in either case impossible.",-320,1991,268,"if, then, form, either finite or infinite magnitude that passes through the motion in the finite time, it follows that an infinite motion is passed through in a finite time: and whether the magnitude in question is finite or infinite this is in either case impossible.","['if', 'then', 'form', 'either', 'finite', 'or', 'infinite', 'magnitude', 'that', 'passes', 'through', 'the', 'motion', 'in', 'the', 'finite', 'time', 'it', 'follows', 'that', 'an', 'infinite', 'motion', 'is', 'passed', 'through', 'in', 'finite', 'time', 'and', 'whether', 'the', 'magnitude', 'in', 'question', 'is', 'finite', 'or', 'infinite', 'this', 'is', 'in', 'either', 'case', 'impossible']","if , then , form , either finite or infinite magnitude that pass through the motion in the finite time , -PRON- follow that an infinite motion be pass through in a finite time : and whether the magnitude in question be finite or infinite this be in either case impossible .",0,2,0,1,0,2,0,0,2,2
"564","Aristotle - Complete Works","Aristotle","aristotle","Similarly also in the other figures; a deduction always results by means of conversion.","Similarly also in the other figures; a deduction always results by means of conversion.",-320,1991,87,"similarly also in the other figures; a deduction always results by means of conversion.","['similarly', 'also', 'in', 'the', 'other', 'figures', 'deduction', 'always', 'results', 'by', 'means', 'of', 'conversion']","similarly also in the other figure ; a deduction always result by mean of conversion .",0,0,0,0,0,0,0,0,0,0
"565","Plato - Complete Works","Plato","plato","No, indeed, and you can ask me too.","No, indeed, and you can ask me too.",-350,1997,35,"no, indeed, and you can ask me too.","['no', 'indeed', 'and', 'you', 'can', 'ask', 'me', 'too']","no , indeed , and -PRON- can ask -PRON- too .",0,0,0,0,0,0,0,0,0,0
"566","Philosophical Troubles","Kripke","analytic","In fact, it is conceded from the outset by the materialist as well as by his opponent.","In fact, it is conceded from the outset by the materialist as well as by his opponent.",1975,2011,86,"in fact, it is conceded from the outset by the materialist as well as by his opponent.","['in', 'fact', 'it', 'is', 'conceded', 'from', 'the', 'outset', 'by', 'the', 'materialist', 'as', 'well', 'as', 'by', 'his', 'opponent']","in fact , -PRON- be concede from the outset by the materialist as well as by -PRON- opponent .",1,1,2,1,0,0,0,1,2,0
"567","Critique Of Practical Reason","Kant","german_idealism","By the doctrine of the method of pure practical reason one cannot mean the way of proceeding (in meditati as well as in expositi with pure practical principles with a view to a scientific cognition of them; ordinarily this alone is properly called method in the theoretical sphere (for, popular cognition requires a manner?","By the doctrine of the method of pure practical reason one cannot mean the way of proceeding (in meditati as well as in expositi with pure practical principles with a view to a scientific cognition of them; ordinarily this alone is properly called method in the theoretical sphere (for, popular cognition requires a manner?",1788,2002,323,"by the doctrine of the method of pure practical reason one cannot mean the way of proceeding (in meditati as well as in expositi with pure practical principles with a view to a scientific cognition of them; ordinarily this alone is properly called method in the theoretical sphere (for, popular cognition requires a manner?","['by', 'the', 'doctrine', 'of', 'the', 'method', 'of', 'pure', 'practical', 'reason', 'one', 'cannot', 'mean', 'the', 'way', 'of', 'proceeding', 'in', 'meditati', 'as', 'well', 'as', 'in', 'expositi', 'with', 'pure', 'practical', 'principles', 'with', 'view', 'to', 'scientific', 'cognition', 'of', 'them', 'ordinarily', 'this', 'alone', 'is', 'properly', 'called', 'method', 'in', 'the', 'theoretical', 'sphere', 'for', 'popular', 'cognition', 'requires', 'manner']","by the doctrine of the method of pure practical reason one can not mean the way of proceeding ( in meditati as well as in expositi with pure practical principle with a view to a scientific cognition of -PRON- ; ordinarily this alone be properly call method in the theoretical sphere ( for , popular cognition require a manner ?",0,1,0,0,0,0,0,2,0,3
"568","The Second Sex","Beauvoir","feminism",": she lies around in slippers and robe in the wings before going onstage; she likes this lukewarm, soft, relaxed atmosphere.",": she lies around in slippers and robe in the wings before going onstage; she likes this lukewarm, soft, relaxed atmosphere.",1949,2009,124,": she lies around in slippers and robe in the wings before going onstage; she likes this lukewarm, soft, relaxed atmosphere.","['she', 'lies', 'around', 'in', 'slippers', 'and', 'robe', 'in', 'the', 'wings', 'before', 'going', 'onstage', 'she', 'likes', 'this', 'lukewarm', 'soft', 'relaxed', 'atmosphere']",": -PRON- lie around in slipper and robe in the wing before go onstage ; -PRON- like this lukewarm , soft , relaxed atmosphere .",0,0,0,0,0,0,0,0,0,0
"569","Critique Of Judgement","Kant","german_idealism","Thus it makes the furtherance of happiness in agreement with morality the final end.","Thus it makes the furtherance of happiness in agreement with morality the final end.",1790,2007,84,"thus it makes the furtherance of happiness in agreement with morality the final end.","['thus', 'it', 'makes', 'the', 'furtherance', 'of', 'happiness', 'in', 'agreement', 'with', 'morality', 'the', 'final', 'end']","thus -PRON- make the furtherance of happiness in agreement with morality the final end .",0,1,0,0,1,0,0,2,0,3
"570","Aristotle - Complete Works","Aristotle","aristotle","But even those who agree in thinking that the life of excellence is the most desirable raise a question, whether the life of business and politics is or is not more desirable than one which is wholly independent of external goods, I mean than a contemplative life, which by some is maintained to be the only one worthy of a philosopher.","But even those who agree in thinking that the life of excellence is the most desirable raise a question, whether the life of business and politics is or is not more desirable than one which is wholly independent of external goods, I mean than a contemplative life, which by some is maintained to be the only one worthy of a philosopher.",-320,1991,336,"but even those who agree in thinking that the life of excellence is the most desirable raise a question, whether the life of business and politics is or is not more desirable than one which is wholly independent of external goods, i mean than a contemplative life, which by some is maintained to be the only one worthy of a philosopher.","['but', 'even', 'those', 'who', 'agree', 'in', 'thinking', 'that', 'the', 'life', 'of', 'excellence', 'is', 'the', 'most', 'desirable', 'raise', 'question', 'whether', 'the', 'life', 'of', 'business', 'and', 'politics', 'is', 'or', 'is', 'not', 'more', 'desirable', 'than', 'one', 'which', 'is', 'wholly', 'independent', 'of', 'external', 'goods', 'mean', 'than', 'contemplative', 'life', 'which', 'by', 'some', 'is', 'maintained', 'to', 'be', 'the', 'only', 'one', 'worthy', 'of', 'philosopher']","but even those who agree in think that the life of excellence be the most desirable raise a question , whether the life of business and politic be or be not more desirable than one which be wholly independent of external good , -PRON- mean than a contemplative life , which by some be maintain to be the only one worthy of a philosopher .",1,0,1,0,1,0,0,3,0,7
"571","Quintessence","Quine","analytic","accidentally two legged and talkative, not merely qua man but qua itself.","accidentally two legged and talkative, not merely qua man but qua itself.",1950,2004,73,"accidentally two legged and talkative, not merely qua man but qua itself.","['accidentally', 'two', 'legged', 'and', 'talkative', 'not', 'merely', 'qua', 'man', 'but', 'qua', 'itself']","accidentally two legged and talkative , not merely qua man but qua -PRON- .",0,0,0,0,0,0,1,0,0,0
"572","History Of Madness","Foucault","continental","In this way, the rejection of madness, the abrupt exclamation 'mais quoi, ce sont des fous' are themselves rejected by Derrida and three times confined outside the philosophical discourse: because it is another subject who is speaking (no longer the philosopher of the Meditations, but this gruff voiced objector); because it speaks from a place which is that of non philosophical naivety; and because the philosopher then begins to speak again, and by quoting the 'stronger' and 'more convincing' example of the dream, disarms the objection and imposes something much worse than madness on the person who refuses it.","In this way, the rejection of madness, the abrupt exclamation 'mais quoi, ce sont des fous' are themselves rejected by Derrida and three times confined outside the philosophical discourse: because it is another subject who is speaking (no longer the philosopher of the Meditations, but this gruff voiced objector); because it speaks from a place which is that of non philosophical naivety; and because the philosopher then begins to speak again, and by quoting the 'stronger' and 'more convincing' example of the dream, disarms the objection and imposes something much worse than madness on the person who refuses it.",1961,2006,617,"in this way, the rejection of madness, the abrupt exclamation 'mais quoi, ce sont des fous' are themselves rejected by derrida and three times confined outside the philosophical discourse: because it is another subject who is speaking (no longer the philosopher of the meditations, but this gruff voiced objector); because it speaks from a place which is that of non philosophical naivety; and because the philosopher then begins to speak again, and by quoting the 'stronger' and 'more convincing' example of the dream, disarms the objection and imposes something much worse than madness on the person who refuses it.","['in', 'this', 'way', 'the', 'rejection', 'of', 'madness', 'the', 'abrupt', 'exclamation', 'mais', 'quoi', 'ce', 'sont', 'des', 'fous', 'are', 'themselves', 'rejected', 'by', 'derrida', 'and', 'three', 'times', 'confined', 'outside', 'the', 'philosophical', 'discourse', 'because', 'it', 'is', 'another', 'subject', 'who', 'is', 'speaking', 'no', 'longer', 'the', 'philosopher', 'of', 'the', 'meditations', 'but', 'this', 'gruff', 'voiced', 'objector', 'because', 'it', 'speaks', 'from', 'place', 'which', 'is', 'that', 'of', 'non', 'philosophical', 'naivety', 'and', 'because', 'the', 'philosopher', 'then', 'begins', 'to', 'speak', 'again', 'and', 'by', 'quoting', 'the', 'stronger', 'and', 'more', 'convincing', 'example', 'of', 'the', 'dream', 'disarms', 'the', 'objection', 'and', 'imposes', 'something', 'much', 'worse', 'than', 'madness', 'on', 'the', 'person', 'who', 'refuses', 'it']","in this way , the rejection of madness , the abrupt exclamation ' mais quoi , ce sont des fous ' be -PRON- reject by Derrida and three time confine outside the philosophical discourse : because -PRON- be another subject who be speak ( no longer the philosopher of the meditation , but this gruff voice objector ) ; because -PRON- speak from a place which be that of non philosophical naivety ; and because the philosopher then begin to speak again , and by quote the ' strong ' and ' more convincing ' example of the dream , disarm the objection and impose something much bad than madness on the person who refuse -PRON- .",5,0,3,4,0,3,1,1,8,1
"573","The Birth Of The Clinic","Foucault","continental","Mathieu Gcraud, op. cit.,.","Mathieu Gcraud, op. cit.,.",1963,2003,26,"mathieu gcraud, op. cit.,.","['mathieu', 'gcraud', 'op', 'cit']","Mathieu Gcraud , op . cit . , .",0,0,0,0,0,0,0,0,0,0
"574","Vindication Of The Rights Of Woman","Wollstonecraft","feminism","These brothers are, to view the fairest side of the question, good sort of men, and give as a favour, what children of the same parents had an equal right to.","These brothers are, to view the fairest side of the question, good sort of men, and give as a favour, what children of the same parents had an equal right to.",1792,2001,158,"these brothers are, to view the fairest side of the question, good sort of men, and give as a favour, what children of the same parents had an equal right to.","['these', 'brothers', 'are', 'to', 'view', 'the', 'fairest', 'side', 'of', 'the', 'question', 'good', 'sort', 'of', 'men', 'and', 'give', 'as', 'favour', 'what', 'children', 'of', 'the', 'same', 'parents', 'had', 'an', 'equal', 'right', 'to']","these brother be , to view the fair side of the question , good sort of man , and give as a favour , what child of the same parent have an equal right to .",0,1,0,0,1,0,1,1,0,2
"575","Quintessence","Quine","analytic","Note that is not to be confused with: Philip is unaware that denounced Catiline) which, though it happens be false, is quite straightforward a in danger of being inferred by existential generalization from.","Note that is not to be confused with: Philip is unaware that denounced Catiline) which, though it happens be false, is quite straightforward a in danger of being inferred by existential generalization from.",1950,2004,206,"note that is not to be confused with: philip is unaware that denounced catiline) which, though it happens be false, is quite straightforward a in danger of being inferred by existential generalization from.","['note', 'that', 'is', 'not', 'to', 'be', 'confused', 'with', 'philip', 'is', 'unaware', 'that', 'denounced', 'catiline', 'which', 'though', 'it', 'happens', 'be', 'false', 'is', 'quite', 'straightforward', 'in', 'danger', 'of', 'being', 'inferred', 'by', 'existential', 'generalization', 'from']","note that be not to be confuse with : Philip be unaware that denounce Catiline ) which , though -PRON- happen be false , be quite straightforward a in danger of be infer by existential generalization from .",0,0,0,1,0,1,0,1,2,1
"576","The Logic Of Scientific Discovery","Popper","analytic","Instead of taking it as their task to propose a suitable convention, they believe they have to discover a difference, existing in the nature of things, as it were, between empirical science on the one hand and metaphysics on the other.","Instead of taking it as their task to propose a suitable convention, they believe they have to discover a difference, existing in the nature of things, as it were, between empirical science on the one hand and metaphysics on the other.",1959,2002,235,"instead of taking it as their task to propose a suitable convention, they believe they have to discover a difference, existing in the nature of things, as it were, between empirical science on the one hand and metaphysics on the other.","['instead', 'of', 'taking', 'it', 'as', 'their', 'task', 'to', 'propose', 'suitable', 'convention', 'they', 'believe', 'they', 'have', 'to', 'discover', 'difference', 'existing', 'in', 'the', 'nature', 'of', 'things', 'as', 'it', 'were', 'between', 'empirical', 'science', 'on', 'the', 'one', 'hand', 'and', 'metaphysics', 'on', 'the', 'other']","instead of take -PRON- as -PRON- task to propose a suitable convention , -PRON- believe -PRON- have to discover a difference , exist in the nature of thing , as -PRON- be , between empirical science on the one hand and metaphysic on the other .",0,0,0,0,0,0,0,0,0,3
"577","A Treatise Of Human Nature","Hume","empiricism","It is that of Of time in the cause before the effect.","It is that of Of time in the cause before the effect.",1739,2003,53,"it is that of of time in the cause before the effect.","['it', 'is', 'that', 'of', 'of', 'time', 'in', 'the', 'cause', 'before', 'the', 'effect']","-PRON- be that of of time in the cause before the effect .",0,1,0,0,0,0,0,0,0,0
"578","Plato - Complete Works","Plato","plato","And the performers are men of almost divine distinction.","And the performers are men of almost divine distinction.",-350,1997,56,"and the performers are men of almost divine distinction.","['and', 'the', 'performers', 'are', 'men', 'of', 'almost', 'divine', 'distinction']","and the performer be man of almost divine distinction .",0,0,0,0,0,0,0,0,0,1
